variable,dtype,non_null_count,null_count,unique_values,year_coverage,sample_values
year,int16,72390,0,34,1972-2022,"[2006, 1980, 1994, 2004, 2018]"
xnorcsiz,int8,72390,0,10,1972-2022,"[2, 6, 6, 3, 2]"
fileversion,float64,72390,0,1,1972-2022,[7222.4]
oversamp,float64,72390,0,5,1972-2022,"[1.0, 1.0, 1.0, 1.0, 1.0]"
sample,int8,72390,0,11,1972-2022,"[2, 10, 3, 10, 10]"
wtssps,float64,72390,0,43319,1972-2022,"[2.752679665866692, 0.46725935487345316, 1.0232636113226914, 0.27263882408680273, 0.7073630527139012]"
id,int16,72390,0,4510,1972-2022,"[645, 1514, 2309, 1593, 7]"
region,int8,72390,0,9,1972-2022,"[2, 3, 9, 6, 9]"
size,int16,72390,0,490,1972-2022,"[14, 152, 1, 5, 33]"
spaneng,float64,72384,6,2,1972-2022,"[1.0, 1.0]"
reg16,float64,72366,24,10,1972-2022,"[4.0, 0.0, 1.0, 8.0, 2.0]"
wrkstat,float64,72354,36,8,1972-2022,"[5.0, 5.0, 1.0, 1.0, 5.0]"
marital,float64,72339,51,5,1972-2022,"[1.0, 5.0, 1.0, 4.0, 1.0]"
srcbelt,float64,72332,58,6,1972-2022,"[4.0, 4.0, 3.0, 6.0, 5.0]"
race,float64,72283,107,3,1972-2022,"[1.0, 2.0, 1.0]"
sex,float64,72278,112,2,1972-2022,"[2.0, 2.0]"
degree,float64,72194,196,5,1972-2022,"[1.0, 1.0, 1.0, 0.0, 0.0]"
childs,float64,72129,261,9,1972-2022,"[3.0, 0.0, 5.0, 2.0, 1.0]"
educ,float64,72127,263,21,1972-2022,"[12.0, 16.0, 14.0, 16.0, 12.0]"
cohort,float64,71954,436,123,1972-2022,"[1997.0, 1962.0, 1964.0, 1950.0, 1975.0]"
relig,float64,71953,437,13,1972-2022,"[1.0, 2.0, 1.0, 2.0, 2.0]"
partyid,float64,71905,485,8,1972-2022,"[2.0, 6.0, 0.0, 6.0, 1.0]"
attend,float64,71690,700,9,1972-2022,"[5.0, 0.0, 2.0, 7.0, 5.0]"
age,float64,71621,769,72,1972-2022,"[45.0, 74.0, 24.0, 74.0, 62.0]"
earnrs,float64,71611,779,9,1972-2022,"[1.0, 1.0, 1.0, 0.0, 0.0]"
family16,float64,70835,1555,9,1972-2022,"[1.0, 5.0, 1.0, 1.0, 1.0]"
res16,float64,70750,1640,6,1972-2022,"[3.0, 3.0, 6.0, 5.0, 5.0]"
hompop,float64,70620,1770,17,1972-2022,"[3.0, 2.0, 2.0, 1.0, 2.0]"
sibs,float64,70605,1785,41,1972-2022,"[1.0, 9.0, 8.0, 6.0, 7.0]"
phone,float64,70302,2088,6,1973-2022,"[4.0, 3.0, 3.0, 3.0, 6.0]"
teens,float64,70298,2092,9,1972-2022,"[0.0, 0.0, 0.0, 0.0, 0.0]"
babies,float64,70239,2151,7,1972-2022,"[2.0, 0.0, 1.0, 0.0, 0.0]"
preteen,float64,70210,2180,8,1972-2022,"[2.0, 0.0, 0.0, 0.0, 0.0]"
mobile16,float64,69734,2656,3,1972-2022,"[1.0, 3.0, 1.0]"
fund,float64,69295,3095,3,1972-2022,"[3.0, 1.0, 2.0]"
class,float64,68858,3532,5,1972-2022,"[2.0, 2.0, 3.0, 3.0, 2.0]"
relig16,float64,68788,3602,13,1973-2022,"[2.0, 1.0, 1.0, 4.0, 2.0]"
wrkslf,float64,68349,4041,2,1972-2022,"[2.0, 2.0]"
adults,float64,68289,4101,8,1972-2022,"[2.0, 2.0, 1.0, 1.0, 4.0]"
vstrat,float64,67789,4601,2353,1975-2022,"[1623.0, 7429.0, 1218.0, 1948.0, 3315.0]"
vpsu,float64,67789,4601,3563,1975-2022,"[2.0, 1.0, 1.0, 1.0, 1.0]"
form,float64,67757,4633,3,1973-2022,"[2.0, 1.0, 2.0]"
satfin,float64,67722,4668,3,1972-2022,"[2.0, 3.0, 3.0]"
finalter,float64,67595,4795,3,1972-2022,"[2.0, 1.0, 1.0]"
happy,float64,67588,4802,3,1972-2022,"[1.0, 2.0, 2.0]"
finrela,float64,67306,5084,5,1972-2022,"[4.0, 3.0, 2.0, 4.0, 2.0]"
dateintv,float64,67279,5111,373,1975-2022,"[627.0, 222.0, 429.0, 611.0, 214.0]"
occ10,float64,67252,5138,533,1972-2022,"[8140.0, 640.0, 6800.0, 6355.0, 7855.0]"
sei10,float64,67248,5142,371,1972-2022,"[42.8, 36.7, 50.4, 39.7, 9.0]"
prestg10,float64,67248,5142,61,1972-2022,"[35.0, 56.0, 31.0, 35.0, 27.0]"
sei10inc,float64,67247,5143,387,1972-2022,"[14.7, 17.4, 18.8, 64.5, 60.7]"
prestg105plus,float64,67247,5143,92,1972-2022,"[37.0, 18.0, 37.0, 50.0, 58.0]"
indus10,float64,67171,5219,269,1972-2022,"[770.0, 5380.0, 9490.0, 7860.0, 1570.0]"
sei10educ,float64,67153,5237,374,1972-2022,"[45.4, 99.1, 56.1, 69.9, 55.9]"
visitors,float64,67034,5356,5,1975-2022,"[0.0, 0.0, 0.0, 0.0, 0.0]"
rvisitor,float64,67029,5361,2,1975-2022,"[1.0, 1.0]"
fund16,float64,66845,5545,3,1973-2022,"[2.0, 3.0, 3.0]"
sampcode,float64,66745,5645,457,1973-2022,"[354.0, 162.0, 322.0, 320.0, 24.0]"
comprend,float64,66426,5964,3,1972-2022,"[1.0, 1.0, 1.0]"
famgen,float64,65270,7120,7,1975-2022,"[2.0, 2.0, 1.0, 1.0, 1.0]"
relate1,float64,65035,7355,6,1975-2022,"[1.0, 1.0, 1.0, 1.0, 1.0]"
gender1,float64,64947,7443,3,1975-2022,"[2.0, 1.0, 1.0]"
coop,float64,64940,7450,4,1973-2022,"[1.0, 1.0, 1.0, 2.0]"
coninc,float64,64913,7477,677,1972-2022,"[17551.25, 15198.0, 49611.0, 1872.0, 53507.0]"
realinc,float64,64912,7478,675,1972-2022,"[68900.0, 8302.25, 48938.0, 4587.0, 135195.96431999997]"
wtssall,float64,64814,7576,316,1972-2018,"[1.0825, 0.8977, 0.9145, 0.8237962599013566, 0.4488]"
zodiac,float64,64451,7939,12,1976-2022,"[10.0, 8.0, 3.0, 4.0, 7.0]"
ethnum,float64,64400,7990,4,1972-2018,"[1.0, 1.0, 1.0, 4.0]"
mar1,float64,64386,8004,5,1975-2022,"[1.0, 5.0, 1.0, 1.0, 3.0]"
respnum,float64,64289,8101,13,1975-2022,"[2.0, 1.0, 3.0, 1.0, 1.0]"
hhtype1,float64,64265,8125,12,1975-2022,"[1.0, 4.0, 4.0, 3.0, 11.0]"
hhtype,float64,64265,8125,74,1975-2022,"[3.0, 3.0, 1.0, 1.0, 9.0]"
rplace,float64,63956,8434,8,1975-2022,"[1.0, 1.0, 1.0, 2.0, 1.0]"
old1,float64,63939,8451,87,1975-2022,"[31.0, 48.0, 34.0, 62.0, 28.0]"
raclive,float64,63439,8951,2,1972-2022,"[1.0, 1.0]"
income,float64,63439,8951,12,1973-2022,"[11.0, 12.0, 12.0, 12.0, 12.0]"
madeg,float64,63437,8953,5,1972-2022,"[0.0, 0.0, 0.0, 0.0, 2.0]"
born,float64,63033,9357,2,1977-2022,"[1.0, 1.0]"
parborn,float64,63017,9373,9,1977-2022,"[1.0, 0.0, 0.0, 0.0, 0.0]"
polviews,float64,62718,9672,7,1974-2022,"[4.0, 5.0, 4.0, 4.0, 6.0]"
reliten,float64,61513,10877,4,1974-2022,"[1.0, 1.0, 2.0, 2.0]"
isco08,float64,60912,11478,332,1972-2018,"[3343.0, 9329.0, 8332.0, 5222.0, 2514.0]"
isco88,float64,60912,11478,280,1972-2018,"[4211.0, 2441.0, 7124.0, 2131.0, 8251.0]"
cappun,float64,60847,11543,2,1974-2022,"[1.0, 1.0]"
maeduc,float64,60603,11787,21,1972-2022,"[16.0, 6.0, 10.0, 8.0, 12.0]"
hhrace,float64,59762,12628,5,1975-2022,"[1.0, 1.0, 1.0, 1.0, 1.0]"
granborn,float64,59193,13197,5,1977-2022,"[0.0, 0.0, 4.0, 1.0, 0.0]"
incom16,float64,58649,13741,6,1972-2022,"[2.0, 2.0, 3.0, 1.0, 2.0]"
