variable,category,non_null_count,null_count,percent_missing
wrkstat,other,72354,36,0.05
race,demographic,72283,107,0.15
sex,demographic,72278,112,0.15
degree,educational,72194,196,0.27
educ,educational,72127,263,0.36
relig,religious,71953,437,0.6
attend,religious,71690,700,0.97
age,demographic,71621,769,1.06
income,economic,63439,8951,12.36
polviews,other,62718,9672,13.36
reliten,religious,61513,10877,15.03
gunlaw,policy,48307,24083,33.27
hrs1,other,41560,30830,42.59
abany,policy,39258,33132,45.77
natfare,policy,39190,33200,45.86
natenvir,policy,39147,33243,45.92
eqwlth,policy,38758,33632,46.46
sei,other,31277,41113,56.79
